RecordID,Observation,X1,X2,X3,Y,CaseGroup,LeverageDistance,LeverageCutoff,LeverageFlag,MedianRegressionPrediction,MedianRegressionResidual,ResidualRobustZ,ResidualZCutoff,ResponseOutlierFlag,OutlierClass,KnownOutlier
1,1,10.100000,19.600000,28.300000,9.700000,Cases 1-10 (bad leverage),29.511131,3.057516,True,9.148586,0.551414,0.674491,3.500000,False,Leverage only,True
2,2,9.500000,20.500000,28.900000,10.100000,Cases 1-10 (bad leverage),30.278006,3.057516,True,9.361871,0.738129,0.902880,3.500000,False,Leverage only,True
3,3,10.700000,20.200000,31.000000,10.300000,Cases 1-10 (bad leverage),31.986972,3.057516,True,9.875776,0.424224,0.518912,3.500000,False,Leverage only,True
4,4,9.900000,21.500000,31.700000,9.500000,Cases 1-10 (bad leverage),32.960339,3.057516,True,10.154168,-0.654168,0.800179,3.500000,False,Leverage only,True
5,5,10.300000,21.100000,31.100000,10.000000,Cases 1-10 (bad leverage),32.366928,3.057516,True,10.000000,0.000000,0.000000,3.500000,False,Leverage only,True
6,6,10.800000,20.400000,29.200000,10.000000,Cases 1-10 (bad leverage),30.652571,3.057516,True,9.529494,0.470506,0.575523,3.500000,False,Leverage only,True
7,7,10.500000,20.900000,29.100000,10.800000,Cases 1-10 (bad leverage),30.739600,3.057516,True,9.558016,1.241984,1.519196,3.500000,False,Leverage only,True
8,8,9.900000,19.600000,28.800000,10.300000,Cases 1-10 (bad leverage),29.878511,3.057516,True,9.237647,1.062353,1.299472,3.500000,False,Leverage only,True
9,9,9.700000,20.700000,31.000000,9.600000,Cases 1-10 (bad leverage),32.055374,3.057516,True,9.861844,-0.261844,0.320288,3.500000,False,Leverage only,True
10,10,9.300000,19.700000,30.300000,9.900000,Cases 1-10 (bad leverage),31.054554,3.057516,True,9.520306,0.379694,0.464442,3.500000,False,Leverage only,True
11,11,11.000000,24.000000,35.000000,-0.200000,Cases 11-14 (good leverage),36.738828,3.057516,True,11.349846,-11.549846,14.127785,3.500000,True,Leverage + response,True
12,12,12.000000,23.000000,37.000000,-0.400000,Cases 11-14 (good leverage),38.092988,3.057516,True,11.715692,-12.115692,14.819928,3.500000,True,Leverage + response,True
13,13,12.000000,26.000000,34.000000,0.700000,Cases 11-14 (good leverage),36.967349,3.057516,True,11.536031,-10.836031,13.254646,3.500000,True,Leverage + response,True
14,14,11.000000,34.000000,34.000000,0.100000,Cases 11-14 (good leverage),41.095351,3.057516,True,12.682801,-12.582801,15.391297,3.500000,True,Leverage + response,True
15,15,3.400000,2.900000,2.100000,-0.400000,Cases 15-75 (regular),2.017719,3.057516,False,0.328549,-0.728549,0.891162,3.500000,False,Regular,False
16,16,3.100000,2.200000,0.300000,0.600000,Cases 15-75 (regular),2.231417,3.057516,False,-0.193542,0.793542,0.970661,3.500000,False,Regular,False
17,17,0.000000,1.600000,0.200000,-0.200000,Cases 15-75 (regular),1.934954,3.057516,False,-0.590929,0.390929,0.478184,3.500000,False,Regular,False
18,18,2.300000,1.600000,2.000000,0.000000,Cases 15-75 (regular),0.784755,3.057516,False,0.005453,-0.005453,0.006670,3.500000,False,Regular,False
19,19,0.800000,2.900000,1.600000,0.100000,Cases 15-75 (regular),1.281047,3.057516,False,-0.016185,0.116185,0.142118,3.500000,False,Regular,False
20,20,3.100000,3.400000,2.200000,0.400000,Cases 15-75 (regular),2.084988,3.057516,False,0.400000,-0.000000,0.000000,3.500000,False,Regular,False
21,21,2.600000,2.200000,1.900000,0.900000,Cases 15-75 (regular),1.053036,3.057516,False,0.104238,0.795762,0.973377,3.500000,False,Regular,False
22,22,0.400000,3.200000,1.900000,0.300000,Cases 15-75 (regular),1.744834,3.057516,False,0.058112,0.241888,0.295877,3.500000,False,Regular,False
23,23,2.000000,2.300000,0.800000,-0.800000,Cases 15-75 (regular),1.185410,3.057516,False,-0.171185,-0.628815,0.769167,3.500000,False,Regular,False
24,24,1.300000,2.300000,0.500000,0.700000,Cases 15-75 (regular),1.328898,3.057516,False,-0.299497,0.999497,1.222586,3.500000,False,Regular,False
25,25,1.000000,0.000000,0.400000,-0.300000,Cases 15-75 (regular),1.996144,3.057516,False,-0.704304,0.404304,0.494545,3.500000,False,Regular,False
26,26,0.900000,3.300000,2.500000,-0.800000,Cases 15-75 (regular),1.708527,3.057516,False,0.248032,-1.048032,1.281954,3.500000,False,Regular,False
27,27,3.300000,2.500000,2.900000,-0.700000,Cases 15-75 (regular),1.989770,3.057516,False,0.429231,-1.129231,1.381277,3.500000,False,Regular,False
28,28,1.800000,0.800000,2.000000,0.300000,Cases 15-75 (regular),1.087030,3.057516,False,-0.164011,0.464011,0.567579,3.500000,False,Regular,False
29,29,1.200000,0.900000,0.800000,0.300000,Cases 15-75 (regular),1.137271,3.057516,False,-0.460899,0.760899,0.930732,3.500000,False,Regular,False
30,30,1.200000,0.700000,3.400000,-0.300000,Cases 15-75 (regular),2.263008,3.057516,False,0.066232,-0.366232,0.447975,3.500000,False,Regular,False
31,31,3.100000,1.400000,1.000000,0.000000,Cases 15-75 (regular),1.725019,3.057516,False,-0.167097,0.167097,0.204393,3.500000,False,Regular,False
32,32,0.500000,2.400000,0.300000,-0.400000,Cases 15-75 (regular),1.764629,3.057516,False,-0.400000,0.000000,0.000000,3.500000,False,Regular,False
33,33,1.500000,3.100000,1.500000,-0.600000,Cases 15-75 (regular),1.279350,3.057516,False,0.057220,-0.657220,0.803913,3.500000,False,Regular,False
34,34,0.400000,0.000000,0.700000,-0.700000,Cases 15-75 (regular),2.079412,3.057516,False,-0.694697,-0.005303,0.006487,3.500000,False,Regular,False
35,35,3.100000,2.400000,3.000000,0.300000,Cases 15-75 (regular),1.882122,3.057516,False,0.416957,-0.116957,0.143062,3.500000,False,Regular,False
36,36,1.100000,2.200000,2.700000,-1.000000,Cases 15-75 (regular),1.200397,3.057516,False,0.138988,-1.138988,1.393211,3.500000,False,Regular,False
37,37,0.100000,3.000000,2.600000,-0.600000,Cases 15-75 (regular),2.044880,3.057516,False,0.150020,-0.750020,0.917425,3.500000,False,Regular,False
38,38,1.500000,1.200000,0.200000,0.900000,Cases 15-75 (regular),1.487216,3.057516,False,-0.515865,1.415865,1.731888,3.500000,False,Regular,False
39,39,2.100000,0.000000,1.200000,-0.700000,Cases 15-75 (regular),1.807827,3.057516,False,-0.432143,-0.267857,0.327642,3.500000,False,Regular,False
40,40,0.500000,2.000000,1.200000,-0.500000,Cases 15-75 (regular),1.086176,3.057516,False,-0.268722,-0.231278,0.282900,3.500000,False,Regular,False
41,41,3.400000,1.600000,2.900000,-0.100000,Cases 15-75 (regular),2.047897,3.057516,False,0.299078,-0.399078,0.488153,3.500000,False,Regular,False
42,42,0.300000,1.000000,2.700000,-0.700000,Cases 15-75 (regular),1.947481,3.057516,False,-0.119774,-0.580226,0.709733,3.500000,False,Regular,False
43,43,0.100000,3.300000,0.900000,0.600000,Cases 15-75 (regular),2.157608,3.057516,False,-0.168452,0.768452,0.939972,3.500000,False,Regular,False
44,44,1.800000,0.500000,3.200000,-0.700000,Cases 15-75 (regular),2.139722,3.057516,False,0.047137,-0.747137,0.913899,3.500000,False,Regular,False
45,45,1.900000,0.100000,0.600000,-0.500000,Cases 15-75 (regular),1.853862,3.057516,False,-0.563718,0.063718,0.077940,3.500000,False,Regular,False
46,46,1.800000,0.500000,3.000000,-0.400000,Cases 15-75 (regular),1.979654,3.057516,False,0.004208,-0.404208,0.494427,3.500000,False,Regular,False
47,47,3.000000,0.100000,0.800000,-0.900000,Cases 15-75 (regular),2.277902,3.057516,False,-0.420346,-0.479654,0.586714,3.500000,False,Regular,False
48,48,3.100000,1.600000,3.000000,0.100000,Cases 15-75 (regular),1.894121,3.057516,False,0.293149,-0.193149,0.236260,3.500000,False,Regular,False
49,49,3.100000,2.500000,1.900000,0.900000,Cases 15-75 (regular),1.597199,3.057516,False,0.196322,0.703678,0.860740,3.500000,False,Regular,False
50,50,2.100000,2.800000,2.900000,-0.400000,Cases 15-75 (regular),1.476383,3.057516,False,0.366085,-0.766085,0.937076,3.500000,False,Regular,False
51,51,2.300000,1.500000,0.400000,0.700000,Cases 15-75 (regular),1.531852,3.057516,False,-0.353458,1.053458,1.288592,3.500000,False,Regular,False
52,52,3.300000,0.600000,1.200000,-0.500000,Cases 15-75 (regular),2.090565,3.057516,False,-0.229713,-0.270287,0.330615,3.500000,False,Regular,False
53,53,0.300000,0.400000,3.300000,0.700000,Cases 15-75 (regular),2.708295,3.057516,False,-0.083842,0.783842,0.958796,3.500000,False,Regular,False
